n,alpha,method,score
3,0.2,STUPID_BACKOFF,0.8465750292850726
3,0.3,STUPID_BACKOFF,0.8465750292850726
3,0.4,STUPID_BACKOFF,0.8465750292850726
3,0.5,STUPID_BACKOFF,0.8465750292850726
3,0.6,STUPID_BACKOFF,0.8465750292850726
4,0.2,STUPID_BACKOFF,0.8465750292850726
4,0.3,STUPID_BACKOFF,0.8465750292850726
4,0.4,STUPID_BACKOFF,0.8465750292850726
4,0.5,STUPID_BACKOFF,0.8465750292850726
4,0.6,STUPID_BACKOFF,0.8465750292850726
5,0.2,STUPID_BACKOFF,0.8465750292850726
5,0.3,STUPID_BACKOFF,0.8465750292850726
5,0.4,STUPID_BACKOFF,0.8465750292850726
5,0.5,STUPID_BACKOFF,0.8465750292850726
5,0.6,STUPID_BACKOFF,0.8465750292850726
6,0.2,STUPID_BACKOFF,0.8465750292850726
6,0.3,STUPID_BACKOFF,0.8465750292850726
6,0.4,STUPID_BACKOFF,0.8465750292850726
6,0.5,STUPID_BACKOFF,0.8465750292850726
6,0.6,STUPID_BACKOFF,0.8465750292850726
